projectBudget,durationDays,taskCount,highPriorityTaskCount,averageAttendanceRate,weatherRisk,materialShortages,costOverrunProbability
5038446.047079834,33,17,3,0.9940942350153901,0.766208038102367,2,0.281559580426379
9612658.727036297,140,90,3,0.9738259751476246,0.003550481257551752,4,0.17984009684816066
8685364.39404249,293,80,3,0.9141837458902867,0.7384699547490745,5,0.39235103054149084
3578309.4037919557,53,52,9,0.5246048834067709,0.3772412945077447,7,0.35464821945492625
2806907.0052011744,334,44,6,0.5549939645272097,0.4101116105601079,0,0.26907478376254124
4038617.688435369,197,62,10,0.6181866874395969,0.45662165536235466,2,0.3275742065338449
8116740.151029069,340,10,1,0.8039305183900494,0.5551211704927189,7,0.44804919925246733
9185868.518495554,125,41,6,0.8390922070925468,0.4970954834262922,0,0.23221906670823655
2168561.1816482376,126,49,1,0.5580495825602048,0.32091349313837225,1,0.21875183862978956
7736904.829508882,138,9,1,0.9448978689144799,0.41122363610901413,0,0.21764237483025664
2725670.513570107,130,84,11,0.7450687052552376,0.3593638704757367,9,0.39160518410619444
4424164.784612378,151,96,11,0.8402758149662939,0.27582678247095505,4,0.24646242472144136
2519522.656318687,86,52,7,0.9481157374413,0.2355669730424499,2,0.1935744758090653
254051.67858706036,280,17,1,0.6745433085187165,0.3588852844594351,7,0.5205834925083512
3931396.5531799495,357,21,0,0.9064416536013593,0.01799916133251922,8,0.28231027752515625
620968.8530537623,115,27,1,0.9376479917574723,0.9261142847633863,6,0.4275821066712885
9571126.951759743,360,40,2,0.5816264807555362,0.6146249709027806,5,0.4303956805425153
2147535.436712677,284,65,13,0.6105591160987496,0.9407493300859163,6,0.5429521348508181
8500467.67758386,249,25,0,0.7211840466004609,0.20236177585126647,0,0.20614098325523492
5007883.175991562,73,38,8,0.9885520437574737,0.5389933734328958,3,0.21605346293845248
3823836.126972881,299,67,1,0.9458669838164695,0.5952951182703765,6,0.3870170134668434
5332100.237030508,300,89,11,0.6589372445227739,0.571188691317429,8,0.48085638377999196
1157933.6635446271,288,20,0,0.5780169899685321,0.3689473165634536,2,0.33790037715819576
140852.28918820553,332,72,7,0.8258402068789297,0.07997522592435802,0,0.2527618225415034
6528350.351899246,184,90,16,0.7419422740200257,0.14998559361541075,3,0.29112555972134224
7288349.043074434,39,96,8,0.8588505274753269,0.5746211071994419,8,0.3770341503089108
5602298.720178258,216,6,0,0.8974030604118448,0.42416663840111024,3,0.2323774146675744
7459026.747088465,338,26,2,0.5464672783784414,0.06712518032579728,9,0.36438695214650135
4570310.075115921,86,7,0,0.6116721953232946,0.8028605255228277,0,0.3017549134146139
4798767.980666306,355,94,17,0.9979736596117981,0.9417147852545829,2,0.42561560568310464
5118141.134150291,99,53,6,0.8191609905190205,0.9808118619051993,0,0.2643573407321533
5771049.305308358,30,22,1,0.9504406592562119,0.8880937080214738,3,0.3260901838200383
6616846.276936875,209,63,9,0.930910612461302,0.4958289776683634,9,0.46202104153261586
2168976.7880752278,110,16,3,0.7196731087610322,0.8308453106241424,0,0.3298467992500584
2338165.1252305843,322,6,0,0.8612341483568664,0.4507987690820777,4,0.3330756315563627
1866390.2162880003,37,70,4,0.5966418538270891,0.3056391560107581,1,0.17064457280194167
1482100.5592140919,231,90,10,0.8476752861174588,0.6509847420632587,8,0.49283948472076566
1568258.7035694288,203,73,5,0.9757341862948423,0.6442684036620554,5,0.41005551419298686
8924783.055537304,70,86,2,0.5952201213008274,0.7472089707954819,5,0.3898783375296184
5118103.743798022,129,19,3,0.5293352247484856,0.7962103685090612,2,0.3610555326215906
3758217.4349284978,273,26,4,0.797362484369943,0.7544315706956831,6,0.43714303396054277
8783331.548297819,32,72,3,0.54454235536544,0.9692861416739482,3,0.35713697658637183
9987786.414462345,205,95,12,0.9702937968592537,0.10835714550866782,6,0.3764162884626137
6712256.422969599,299,14,0,0.6951192964109252,0.8211926987415709,9,0.539367577421026
3966102.3014211254,238,7,0,0.5637461217081238,0.06502493927313335,3,0.25375151336269164
6837669.527579718,193,97,21,0.7244917105296231,0.8293580024078074,5,0.49395207682583736
7681562.139473091,243,65,6,0.857155614619648,0.7545182267562338,8,0.4688290049814689
2176683.4399841484,98,54,4,0.5554588169615016,0.6622501017709466,6,0.42182015614534873
6827546.801790123,160,16,0,0.7986162853126006,0.6394808611157636,5,0.3100194491612883
8685207.180316485,162,9,1,0.6431652449284693,0.2564265503651828,1,0.2214219925761305
8386385.073415984,360,79,9,0.9757674189546163,0.10147682192445673,2,0.1533327336546863
9603052.532979874,225,41,1,0.5807831219397807,0.8135934622438322,5,0.4727094878722818
1747225.0789071203,157,85,3,0.6478645549401911,0.37245687112608505,8,0.40419770265367605
6154022.039177786,128,50,5,0.5957535778734062,0.5033139536827405,2,0.3095593900939934
9881138.33262159,87,71,7,0.7683653948123806,0.07804089320924867,2,0.16737130783472048
5863241.5789332995,44,11,0,0.7769052293965999,0.9334254308160087,5,0.377128897138995
2328882.213779538,36,90,12,0.5417066446586044,0.18521936943198813,1,0.18543091128939704
8891934.813409628,284,27,4,0.8413646561908303,0.346591905204374,6,0.3764938705893746
9284126.328315442,252,97,6,0.5215952379573674,0.8321544949293918,6,0.5006885622063029
2374046.1857635225,314,52,3,0.6820896777247707,0.36627228501115616,5,0.34609945122511443
9875695.645114457,153,90,1,0.9285782843172903,0.5523503940029176,4,0.3130432001547156
2222028.1926113055,233,47,0,0.9544434048377426,0.1999702454711232,9,0.39748831168142246
7008268.794171088,312,76,3,0.7114286544103257,0.26254479404741915,2,0.25294075780727926
8465034.547317492,93,53,6,0.564158773497996,0.5645696203812869,1,0.251035854863445
191622.00231653167,205,93,1,0.805336059904161,0.7311653445140165,3,0.46339168601740244
6934381.140210981,354,79,8,0.5173553482594841,0.840104746577632,2,0.41762599782380533
6178314.814219896,34,99,13,0.9807549476208898,0.9321635294702436,4,0.331370044189061
8705412.552321583,99,54,6,0.7031252805117446,0.25282654205993704,7,0.30321507685266413
399798.02185045404,75,52,11,0.6671451140255567,0.7445442953844037,8,0.5868696443304114
173807.9377287168,253,77,15,0.8282197057472933,0.277024536150122,2,0.3417024544549672
8129947.262285848,339,35,0,0.8364047950972195,0.36584168492518665,7,0.36354266395648377
6180860.580887365,79,62,4,0.9905936371912869,0.9689336169652581,2,0.30084817246620693
6148508.776726379,185,65,4,0.6586810350218739,0.10330922684046673,6,0.36067037463006435
2790096.544817802,106,29,1,0.5990930367133808,0.21685257767434996,1,0.12840927362154758
8383001.032694559,329,20,4,0.6666645320578202,0.18690381403370215,7,0.4229272217889643
2425337.9678868786,256,7,0,0.6782182290453297,0.11730734338235826,4,0.2915467884506143
2811754.750623541,211,88,21,0.6244173049457225,0.7037662378994229,4,0.483765065544827
4341922.137020868,81,68,0,0.9419769389493706,0.6290257496172462,8,0.3656769441642063
9148770.429600708,133,71,15,0.5595930293640206,0.8751550968135041,1,0.32150488480099426
8718616.082841823,47,92,10,0.8497047060977219,0.2639147800331878,0,0.11619315656043228
1063416.464367455,49,98,16,0.740969087709761,0.16654910429319436,4,0.22077271703703452
6656189.26424478,217,72,1,0.8329311736086408,0.36779952630387713,3,0.2777905411731156
6146377.333090581,283,87,11,0.9252919493641809,0.8517333564532951,0,0.30476926310951413
9578133.286729094,45,37,3,0.7640832572229695,0.31544780975391695,4,0.3149902102707147
9674806.448882157,93,19,3,0.8496686289407898,0.5792119825796738,5,0.33478307287144154
3394515.271329085,277,88,7,0.9963036406762127,0.13566649938106645,9,0.36795264880353357
8614280.941779055,236,41,8,0.836318908871127,0.45737181502254254,3,0.33756728900029254
5476880.987171995,156,70,8,0.5005826354454951,0.8169890360730148,5,0.46083526336074526
6365295.786344952,41,70,6,0.6668546561749371,0.9656608422812315,3,0.3413595846972059
8363562.854809661,267,63,4,0.8107878153856951,0.15656825550272502,5,0.32041649580947734
6286823.372097173,43,94,11,0.617346879536225,0.7429388076345462,2,0.2722451981913945
3278020.6893352233,184,23,0,0.789364223262429,0.20589898896611114,4,0.29781814242202814
5010050.076786766,274,85,0,0.864168205139423,0.7845176077214348,5,0.321836295104127
2102844.5462450823,364,89,10,0.8526023598210775,0.3683490685005668,5,0.32200710544673194
475027.26938927395,211,17,1,0.6526705006676239,0.3015269456105958,2,0.3143105501352111
3041851.1487519173,161,52,6,0.8182409609826267,0.5662661963938634,0,0.25471282580841587
6428406.430648121,132,21,3,0.8868141382207164,0.9033747491355406,5,0.4118660022885524
7142883.6270241365,215,53,6,0.8348189478824432,0.9289134163752277,1,0.33339633704556876
5947175.395153293,66,57,12,0.8980703057692265,0.9209383847114785,0,0.2740688719401904
2131505.5958251315,201,62,8,0.7033495591931729,0.5144716579374069,3,0.3432696503143371
7343420.57815997,114,63,4,0.6295335239104498,0.8809832753456678,9,0.5608045189306559
1270898.4152403055,73,47,6,0.6088149056618367,0.7024025492063292,3,0.3571608935241579
4962389.13405198,319,16,0,0.7878073810478,0.28547878692788353,4,0.26428466289677754
3756406.212147482,293,99,5,0.9697387246107252,0.9980211461248882,6,0.49184796110424445
1982626.0666278158,217,79,4,0.9581123312674631,0.9250109432588912,3,0.43223940007439793
6387847.9134485675,355,37,1,0.729929920632834,0.9132407536714461,4,0.32575837921934
3884395.1064821566,346,6,0,0.8386987020854613,0.9641522922949208,0,0.3815020851071226
969270.8205950251,111,79,4,0.9071960270673907,0.7284187033125163,7,0.40694981546359354
3818272.6886711163,336,21,1,0.8441228007347557,0.9535113763355958,3,0.41270079129397075
9709796.7549009,296,56,4,0.5585440280077777,0.9924344697740108,7,0.49270657768890497
1699613.0819280345,145,39,2,0.5692004148595858,0.34537433176640464,4,0.3346580754599989
9827486.358577449,187,57,4,0.8502602676347809,0.9014268017178065,6,0.47953808967286504
8750202.618708167,40,72,7,0.8400760267479146,0.8023326203893688,6,0.34071458878420136
1367455.2373415157,54,52,6,0.5073584433510425,0.20515735483418718,0,0.1797038244053245
2064129.043649938,149,56,4,0.5560265926411991,0.12087360109092526,1,0.18030987689816397
2894963.7197880577,41,47,0,0.7017276980329736,0.21485930883984328,9,0.32403883241631215
3640233.744463076,61,51,5,0.594928245651402,0.593335647044966,2,0.23335258790750887
5559572.344671094,120,38,3,0.6162423588960829,0.7592529950902266,9,0.525539106948881
8703058.073866429,89,68,16,0.593053936823406,0.31747736372477264,3,0.24370353161099187
5433181.77324598,50,84,14,0.6589169031864223,0.7245386150465426,0,0.2738376230448382
4365222.874362535,111,19,1,0.6601646030489151,0.5054946276464231,4,0.3350127220463833
9715177.792331912,279,83,9,0.8440591809262196,0.2962127928620327,6,0.37940362502757013
3501264.609686635,240,84,0,0.8147327300017636,0.5180621776176699,4,0.3434820057261921
6035231.3763292385,153,59,1,0.9434162506656968,0.6403399705976075,8,0.47700932713204336
5872256.686158942,218,37,3,0.54158099145401,0.5421296104704344,3,0.3855021217983752
4105182.398777869,186,53,4,0.7013018383293885,0.6329671329363248,2,0.3296888868831235
4665007.786967996,144,62,4,0.907491905180258,0.6008601087169525,9,0.46309795290142464
8137831.483846321,266,47,10,0.5733313438229544,0.7573765421552368,6,0.468949504236854
4022246.7321777525,313,97,21,0.7683099205269897,0.16828169815070015,8,0.38931890617221826
6679989.394262211,364,86,4,0.5791542782098831,0.6144210050523435,9,0.510170293087232
1444428.2128797665,159,6,0,0.8644998790122387,0.0028931172113300097,3,0.1399300906244289
4389990.423239008,57,79,1,0.9530295659655792,0.6543611867174136,5,0.2875261998104993
2312366.716369182,246,82,3,0.8079340385035385,0.45693022042469067,2,0.2583703454176375
9741752.61446716,92,77,18,0.7222695452941665,0.9784609456685041,8,0.6037832730292946
7695414.052697011,156,10,0,0.9551332114446185,0.4477957768078472,0,0.24257295715436397
6351068.221113558,281,92,4,0.9617149579973033,0.8497275845471226,0,0.27185358844152074
5979152.613551919,240,73,10,0.9386797258306641,0.9801669854659117,5,0.455269093598854
5665706.953064542,238,62,11,0.5714590643261286,0.6760013691836122,5,0.5324726064003267
3379737.7204135414,112,91,13,0.988107783042746,0.21619057498259986,0,0.1229937908055756
6310682.2833388625,340,34,5,0.8650579148033175,0.9825796378992584,0,0.35478732159993115
7034960.896984268,264,64,6,0.5030838803560189,0.7531289237597781,3,0.4115546351446022
3120905.8831394063,230,70,15,0.9250108314078023,0.5922496225408599,3,0.3522608945744224
3721716.4122933527,300,32,7,0.5072580345857469,0.29183108679410885,7,0.48238281175437653
5036842.453122552,106,54,2,0.7714678233181125,0.9376842336024618,7,0.4361384996379314
5120723.162892691,339,44,10,0.6316263842131902,0.864258446945438,8,0.583220959155377
5043400.185637772,46,73,13,0.8941881333825357,0.507671908556492,5,0.2993625039394567
2022463.1254640864,303,9,1,0.7517808986434799,0.6782179471406733,7,0.4653623009050996
3865062.702019712,323,70,6,0.8089901992164269,0.3720065231651062,8,0.453796117604652
3477457.575749191,328,19,1,0.5676580158321443,0.8136662939951609,8,0.5370347621533478
8762876.592830207,301,78,11,0.9825830341503327,0.30893817879425645,4,0.2869439254598977
3163276.0542480173,354,38,8,0.6702856142298698,0.022627919137814367,6,0.30714647164604636
232087.00884226942,182,45,5,0.54651063343975,0.17708378720128826,4,0.3829248682209821
5266352.466159037,177,15,0,0.5212898598676369,0.9823935112458184,8,0.6123151373652201
8969252.344064264,46,24,2,0.6732135793075539,0.5622741488963081,0,0.14339164725911635
3543555.6903416747,50,76,10,0.9574964065013539,0.736399149344223,0,0.22970563378200243
1141056.9064996063,305,42,1,0.8292297413624966,0.4889787967147148,5,0.3481719185410355
1997614.1691720765,134,40,5,0.7616963208436697,0.3600790661806641,2,0.27746416321561757
6339957.936803768,55,7,0,0.5694647365823406,0.09144293842532003,7,0.31264518518308276
8461548.602575345,138,32,0,0.522127293175161,0.6788477475303208,8,0.4670998804469939
874005.6363433115,101,85,14,0.8446827413694964,0.7998219890874133,9,0.4820210457859604
468405.8024695985,100,11,0,0.517762624923906,0.11912732151426153,5,0.29233432003926896
7138655.7820793735,77,28,4,0.8235260601320943,0.5384441094815664,5,0.35631284496184595
5257704.031810603,279,31,1,0.8143675727160343,0.8538451898062642,0,0.34311117082386783
5314438.959524462,177,60,7,0.9313539672663966,0.1649306293691274,1,0.2129225513127539
8229649.1527985595,271,59,10,0.9194961461320703,0.7639580299425782,0,0.31084783135729754
3806986.4262358597,319,86,5,0.98359900285798,0.4752678525191142,7,0.4007186221628013
3260718.41866763,249,21,4,0.8762788083314607,0.06347042120820212,5,0.2976971376428502
8723735.266582096,350,19,1,0.6016492221173286,0.6768529134854847,5,0.42426871526537097
1335876.8086515192,240,90,17,0.6554376469618133,0.7340358834447053,0,0.34931509520495696
5572940.830662747,55,19,2,0.6118257406380353,0.4966178039198935,7,0.42714122834552
5284564.818652488,197,85,12,0.7913655823660503,0.8701506137822494,7,0.5320041809992102
1792457.2345830335,174,32,7,0.5331805513347225,0.1399073048430326,9,0.4556377787120121
3617737.304126585,320,97,17,0.9409605192405186,0.18214376304155266,5,0.2834525216764565
4795523.039883926,135,20,0,0.6703402342426954,0.4668760094906078,2,0.24479669228363612
6771631.029504997,124,34,7,0.6568073828192588,0.02961225912888854,4,0.26042115800493276
6557511.261277881,355,99,16,0.540321002631786,0.19002239342442018,9,0.4611850616072615
9004161.88217421,317,98,11,0.810220516897076,0.32559109608149783,9,0.5067165327078711
4390237.5608763285,331,78,5,0.6249156945083054,0.4556047251089792,5,0.3833943413330793
8220675.147996381,262,44,8,0.5284114891285177,0.5657633963410036,9,0.5420979764160753
8290246.926001435,335,95,14,0.7794095563039065,0.25754857442391466,8,0.4109343673954005
7249235.282407997,262,47,10,0.5161642159552737,0.04092753994251086,2,0.28136042881002254
3942185.928966938,104,69,7,0.7841731721027332,0.6015648343040746,8,0.4079234423595304
8023591.483269376,190,87,3,0.6959266600609365,0.4595594827635795,5,0.34550837238750065
5822832.895908807,36,58,7,0.6114431635008092,0.5858528856523307,9,0.43007449549339183
409733.3476159043,137,9,0,0.9777321962911343,0.48733874816626543,4,0.3121354601591167
8571038.197079066,173,62,4,0.6077689553777793,0.0828662694585216,3,0.2730790095472632
7676348.280948248,171,35,5,0.5314198135678624,0.17022807622890723,6,0.4015819486800886
8523514.680177638,324,42,0,0.9768197122853655,0.8862199540491907,9,0.5048611892166887
4020514.572549346,261,35,3,0.8788618640778666,0.2613980292208705,5,0.31746539671608975
2908721.6274955636,285,35,3,0.7623278383058935,0.2215607407747684,8,0.38411749294358455
3358853.081665112,142,94,19,0.8729070837759642,0.008981165902522958,9,0.42259768577104045
3755085.653667977,31,19,0,0.9740909655401,0.1636369995429029,3,0.11408569547359305
4149785.755779731,47,22,0,0.5143610489579609,0.9869010785612122,1,0.34179507461737735
2351922.894721672,273,22,1,0.9894152533781206,0.9182270841233305,3,0.3710629579108725
916608.9430419955,347,7,0,0.972560746406838,0.98601544249085,9,0.4812780007016702
4925320.0254793605,104,54,7,0.6274495992407689,0.8346862164362838,6,0.4079278105521542
8096244.062326518,70,22,2,0.7107436254010924,0.1075205014116466,2,0.20750579961332138
480085.0048702541,336,28,6,0.578496650202657,0.8763724378207288,9,0.6720848459019445
2619921.7991106464,306,74,16,0.8522564201696263,0.7591117188864593,2,0.41956119625963023
4605443.985353931,265,42,4,0.7218156498503239,0.16291650279125214,5,0.3138072396497937
4897190.891550811,102,84,2,0.6325257320951254,0.9545980288403391,9,0.5440636623280409
8465005.097498078,243,34,0,0.5776767579809114,0.1577649301026417,3,0.2611096285090278
6496120.462214128,137,93,12,0.7790331343481277,0.5316617528054599,5,0.33076054739266925
1545769.1992991795,181,5,0,0.9586938918821479,0.47792993091055025,7,0.3587267335231358
9504680.300325675,226,89,10,0.8633702871141457,0.017054739427058707,5,0.31403838637634945
8570811.554546759,151,6,0,0.5214167035392803,0.9299724445977338,0,0.35204561580646765
6421223.83729041,357,51,1,0.748517415957568,0.21168862007873823,0,0.2060562417232475
7036586.690234399,190,72,15,0.8279372223945394,0.23899199952641992,7,0.41490774679699177
1409769.3159884699,115,32,5,0.6293562165924083,0.7731723481113779,4,0.4641936105635538
2638969.320626282,89,79,12,0.6149553923229067,0.016093279689631923,7,0.28791161401086385
3397851.263455416,300,75,2,0.9987816833990326,0.25102449061023957,6,0.33190459403749195
6560270.943393002,351,56,5,0.565672013682526,0.14041495728588793,3,0.29724657082234557
877097.8684560925,144,42,2,0.6714044313890954,0.5940135811558543,9,0.48256529493111705
2191798.2241879874,283,60,0,0.8678569296724379,0.4407740271832208,9,0.4365738595691754
4258732.484137351,138,9,0,0.7283253147965453,0.2770387483148946,9,0.38996913123466453
4592262.740102081,59,57,5,0.5089254718368333,0.5743475116524817,4,0.3486963902573409
8019096.91082903,292,32,6,0.9810837766506029,0.3400983718071312,2,0.262564929836838
3028801.9061375344,335,28,6,0.7806852903105612,0.07341103184089304,8,0.41598031481398834
2858670.216535676,240,60,4,0.8842732468455026,0.6497517314518287,3,0.29432246701343723
4415624.114714529,37,57,8,0.9609392056256205,0.24027029889380347,2,0.13465459044201816
9856207.173820043,111,72,2,0.8512856136743927,0.5586193600214019,4,0.33071449862428676
9235347.198845573,318,81,8,0.6558366705783288,0.3550741403612495,5,0.38381262964484936
503460.3424089941,48,92,4,0.6934271085086775,0.3653701649926424,2,0.2320791594841244
2911311.0214916444,252,43,8,0.6651351629563618,0.5391778010770966,0,0.28131850270454317
7816647.532936609,310,12,1,0.7810113031896608,0.5242504613177288,3,0.28697729972427244
7218989.625313166,123,20,2,0.6660524518647156,0.4331414611616172,1,0.2603167093419395
7063342.803983622,141,25,5,0.5743005418766125,0.09975309836426283,1,0.2023442132068849
3533468.158892302,244,97,21,0.666617162753584,0.7471620933597265,2,0.3812793067818594
9805101.610584842,197,56,11,0.6128197093336425,0.6289167697439207,4,0.4342474371094305
9276314.072881052,152,7,0,0.5050288049150691,0.4895389823696795,0,0.23623555207392113
218272.66300404072,296,33,7,0.8049378212377558,0.366904812667472,3,0.4091306970560191
8024245.831023067,253,13,1,0.5792650025835576,0.08436207084317549,8,0.40094231162796073
7132557.476468733,88,69,6,0.6964563891461815,0.7860597045947983,9,0.5242334289393815
6495754.657630288,154,54,4,0.7075798862025531,0.11741148464187723,8,0.3438856567900772
2454176.285161643,351,90,21,0.8568639150433128,0.2302037883173511,0,0.22419337224344352
3122873.5737652634,280,14,2,0.5978753732232329,0.8427174815291011,4,0.3907743943818291
624243.9955785915,245,78,9,0.667978459623843,0.9504119380306942,0,0.4471578841277605
9745969.525452822,243,35,2,0.8166679935365353,0.8891042240479857,0,0.3094616706275305
1446257.4660408087,263,79,0,0.7669565137941771,0.5148433687250298,5,0.34934367162039115
7957905.894896022,301,37,5,0.6153954242603321,0.7278162871453362,4,0.4366692743727315
8283400.583644909,243,78,9,0.6818396068128498,0.9664762530813013,2,0.46807306196204174
7206368.061069927,161,16,1,0.7314134635949718,0.7581586136075305,5,0.4498808172353434
9011013.532629445,354,39,5,0.6930933692388488,0.7747376367242352,8,0.5374484494037147
812216.1886280383,185,47,3,0.564589630569691,0.3492103595472428,9,0.52335054862701
1631610.7103056344,147,42,6,0.8267579691789986,0.785197720510734,9,0.4598177987563434
8947529.680988431,200,70,13,0.7877656306164638,0.16614435977020403,6,0.3602994817328404
3469195.1230294583,298,23,3,0.9466855358010786,0.442663058273859,5,0.2946577226776916
486526.17728399043,179,48,10,0.5743950234147684,0.8812610595056045,2,0.4700279693432117
1660104.2802501074,207,18,2,0.6784563840671496,0.1201765843253273,9,0.42522008712523823
6571244.541073808,300,35,4,0.6568175382759698,0.885443362207255,6,0.526286212372551
4699901.8640190475,243,35,6,0.6896720285632759,0.9243613715792433,9,0.6285937770723924
3195398.4210032295,57,33,0,0.5455415545041071,0.6792371790676563,9,0.47822664732582487
6296837.818500987,75,17,2,0.6639898927996803,0.47872246831347987,7,0.383406581283065
6747293.285446034,168,59,1,0.6108574946930418,0.5802324510145924,4,0.37897510926946404
3612866.154062239,116,37,0,0.8974476213119845,0.11485538507497661,2,0.1388133963956601
2512535.2923118914,88,16,1,0.7041187162458373,0.012431925453184722,4,0.19751266510559884
8885376.02653105,187,55,6,0.778014321868461,0.9557981837793009,7,0.5571207027369391
6086828.181038008,201,75,7,0.6566961499741029,0.6666254090970457,5,0.4853869664188314
4576891.70775163,259,69,5,0.542407834773607,0.1377054184540879,8,0.4102405436193371
3608665.385497951,276,16,3,0.7989122266015687,0.8734793521118912,4,0.46990081301806763
9242076.46685558,93,90,17,0.685233790430491,0.2542531838650228,1,0.22204808426363393
5612014.0623140475,324,96,1,0.9387872196073768,0.8299126990201335,8,0.45399226319940317
6658924.349552922,233,68,12,0.990602393395236,0.6453968250237926,2,0.34763645638274054
8531376.598189937,267,58,10,0.8784220473053903,0.9242998989452306,5,0.4336189365936141
6338835.185386478,280,91,0,0.6048530262196594,0.8824961767142994,9,0.5513310491961685
268902.976993333,31,50,5,0.9697253526368266,0.7160689267184811,6,0.4053230666539257
3845388.9052571477,86,35,2,0.5220786414627732,0.1020836052063806,4,0.2718500595835292
872310.2299272226,300,9,0,0.5913530398195208,0.023010575387874987,8,0.4038156924504254
4741187.65978483,113,39,4,0.6080390653974808,0.9230715840648096,7,0.4971192691347966
173652.46304946687,187,68,8,0.7055707239781059,0.8313071477701853,6,0.5895648221696701
2782343.755982988,130,27,4,0.6600722953234186,0.9852119001070896,5,0.4457721409147519
7521451.950483265,163,67,6,0.8892303718563728,0.29060841228566825,0,0.17555952386992807
5023232.079392824,207,18,3,0.9266666034286031,0.040338135909146255,1,0.2420887168672279
2941195.096719881,337,91,13,0.5126431060385281,0.6302504722392626,1,0.35467480877741187
6355444.0394413415,225,43,5,0.6771585544095485,0.18445661586516082,0,0.25058314642621676
6129318.716838309,324,56,3,0.5084469793118747,0.8438573706324017,6,0.4526286360130398
5773089.179846137,334,23,4,0.876872705577433,0.556990920941355,8,0.48296401344441486
6433507.723980836,85,46,0,0.7447267810134999,0.2565098714652496,1,0.16572944892645833
